model,optimizer,conv_layers,filters,dropout,test_loss,test_acc,epochs_run
SGD_Conv2_Filt32_Drop0.1,SGD,2,32,0.1,1.5717,0.4305,30
SGD_Conv2_Filt32_Drop0.3,SGD,2,32,0.3,1.6879,0.39,30
SGD_Conv2_Filt64_Drop0.1,SGD,2,64,0.1,1.4878,0.4575,30
SGD_Conv2_Filt64_Drop0.3,SGD,2,64,0.3,1.5302,0.449,30
SGD_Conv2_Filt128_Drop0.1,SGD,2,128,0.1,1.3779,0.5005,30
SGD_Conv2_Filt128_Drop0.3,SGD,2,128,0.3,1.4445,0.4789,30
SGD_Conv3_Filt32_Drop0.1,SGD,3,32,0.1,1.9177,0.3056,30
SGD_Conv3_Filt32_Drop0.3,SGD,3,32,0.3,2.271,0.2494,30
SGD_Conv3_Filt64_Drop0.1,SGD,3,64,0.1,1.811,0.3452,30
SGD_Conv3_Filt64_Drop0.3,SGD,3,64,0.3,1.8894,0.309,30
SGD_Conv3_Filt128_Drop0.1,SGD,3,128,0.1,1.6567,0.4,30
SGD_Conv3_Filt128_Drop0.3,SGD,3,128,0.3,1.7831,0.3477,30
SGD_Conv4_Filt32_Drop0.1,SGD,4,32,0.1,2.3016,0.1023,30
SGD_Conv4_Filt32_Drop0.3,SGD,4,32,0.3,2.2866,0.1347,30
SGD_Conv4_Filt64_Drop0.1,SGD,4,64,0.1,2.2829,0.1352,30
SGD_Conv4_Filt64_Drop0.3,SGD,4,64,0.3,2.2942,0.1996,30
SGD_Conv4_Filt128_Drop0.1,SGD,4,128,0.1,2.2753,0.1693,30
SGD_Conv4_Filt128_Drop0.3,SGD,4,128,0.3,2.272,0.2148,30
Adam_Conv2_Filt32_Drop0.1,Adam,2,32,0.1,1.0548,0.7083,10
Adam_Conv2_Filt32_Drop0.3,Adam,2,32,0.3,0.9303,0.705,13
Adam_Conv2_Filt64_Drop0.1,Adam,2,64,0.1,1.0858,0.7199,10
Adam_Conv2_Filt64_Drop0.3,Adam,2,64,0.3,0.9838,0.7204,13
Adam_Conv2_Filt128_Drop0.1,Adam,2,128,0.1,1.1261,0.7331,10
Adam_Conv2_Filt128_Drop0.3,Adam,2,128,0.3,0.9431,0.7269,10
Adam_Conv3_Filt32_Drop0.1,Adam,3,32,0.1,0.8228,0.7337,12
Adam_Conv3_Filt32_Drop0.3,Adam,3,32,0.3,0.8069,0.7304,14
Adam_Conv3_Filt64_Drop0.1,Adam,3,64,0.1,1.0178,0.7324,15
Adam_Conv3_Filt64_Drop0.3,Adam,3,64,0.3,0.8406,0.7511,16
Adam_Conv3_Filt128_Drop0.1,Adam,3,128,0.1,0.8726,0.7629,10
Adam_Conv3_Filt128_Drop0.3,Adam,3,128,0.3,0.7672,0.7595,11
Adam_Conv4_Filt32_Drop0.1,Adam,4,32,0.1,0.844,0.7186,13
Adam_Conv4_Filt32_Drop0.3,Adam,4,32,0.3,0.8374,0.7265,17
Adam_Conv4_Filt64_Drop0.1,Adam,4,64,0.1,0.9404,0.7354,14
Adam_Conv4_Filt64_Drop0.3,Adam,4,64,0.3,0.8777,0.7394,15
Adam_Conv4_Filt128_Drop0.1,Adam,4,128,0.1,0.878,0.7646,12
Adam_Conv4_Filt128_Drop0.3,Adam,4,128,0.3,0.877,0.7504,11
